[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3911034787.11489,12/06/2023,2:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 431, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC275,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM006,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A0,OVEN_HW_VERSION
INFO,OVB098,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC033,AC_SERIAL_NUMBER
INFO,SQUID AC 00.94.06,AC_SOFTWARE_VERSION
INFO,TCI069,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3 0 deg MC Thick,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3911035232.17059,200.000701904297,30000.314453125,-0.00053227982097667,4.36408724880762E-8,1,4,13.9012460708618,5.00687472579751,-0.549999997019768,-0.640403117503761,-0.0970206780589137,1,1.05226500951914E-6,,,,,,,,,,,,,,,,,,,,,200.000701904297,200.000701904297,30000.314453125,30000.314453125,52.0126881836978,5.61330384386064,6.04098081588745,56,1,0,0,1,0.30792236328125,27.3704795837402,1,1,1,200.000701904297,0,200.000701904297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035243.33106,200.070617675781,30000.267578125,-0.000532274270799468,2.61188463344839E-7,1,4,13.9012460708618,5.00685031505766,-0.549999997019768,-0.640388584803581,-0.0970415284012926,1,1.03352371385803E-6,,,,,,,,,,,,,,,,,,,,,200.057235717773,200.083999633789,30000.267578125,30000.267578125,52.041999253169,5.61341834136699,6.04739618301392,56,1,0,0,1,0.307235717773438,27.3704795837402,1,1,1,200.083999633789,0,200.070617675781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035273.18294,200.210227966309,28800.59375,-0.000510837888610205,8.53884328623823E-8,1,4,13.9012460708618,5.00675529025834,-0.549999997019768,-0.614603779630699,-0.0929868457043385,1,1.11164652847039E-6,,,,,,,,,,,,,,,,,,,,,200.208419799805,200.212036132813,28800.59375,28800.59375,52.1600251595728,5.61367909119791,6.03833150863647,56,1,0,0,1,0.307083129882812,27.8592376708984,1,1,1,200.208419799805,0,200.210227966309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035302.46137,200.235763549805,27625.07421875,-0.00048985018971933,3.93849190708872E-8,1,4,13.9012460708618,5.0067232890482,-0.549999997019768,-0.589366004897525,-0.0890456128317281,1,1.16581501160982E-6,,,,,,,,,,,,,,,,,,,,,200.231155395508,200.240371704102,27625.07421875,27625.07421875,52.0205044688901,5.6137466149992,6.04562139511108,56,1,0,0,1,0.307159423828125,27.8592376708984,1,1,1,200.231155395508,0,200.235763549805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035331.68035,200.317611694336,26474.0546875,-0.000469532034257634,8.16443887130803E-8,1,4,13.9012460708618,5.00673654475152,-0.549999997019768,-0.564927714962976,-0.0853166011900019,1,1.1472820251355E-6,,,,,,,,,,,,,,,,,,,,,200.313415527344,200.321807861328,26474.0546875,26474.0546875,52.2491308107651,5.61400688741252,6.04515504837036,56,1,0,0,1,0.30792236328125,27.8592376708984,1,1,1,200.313415527344,0,200.317611694336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035361.5717,200.322944641113,25347.640625,-0.000449400860891272,7.52068923607198E-8,1,4,13.9012460708618,5.00674098771326,-0.549999997019768,-0.540712688722947,-0.081622548462203,1,1.12819720029985E-6,,,,,,,,,,,,,,,,,,,,,200.316314697266,200.329574584961,25347.640625,25347.640625,52.1846464579286,5.61402210847064,6.04149389266968,56,1,0,0,1,0.3082275390625,27.8592376708984,1,1,1,200.316314697266,0,200.322944641113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035388.99168,200.269355773926,24245.923828125,-0.00042990259215335,3.40077961516987E-8,1,4,13.9012460708618,5.00674254189085,-0.549999997019768,-0.517248726075071,-0.0781082406600103,1,1.05676865375787E-6,,,,,,,,,,,,,,,,,,,,,200.262832641602,200.27587890625,24245.923828125,24245.923828125,52.0029178272074,5.61397992237886,6.0422625541687,56,1,0,0,1,0.307083129882812,27.8592376708984,1,1,1,200.262832641602,0,200.269355773926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035417.12404,200.225646972656,23168.2734375,-0.000410779594683533,2.19199475830738E-8,1,4,13.9012460708618,5.00672663167948,-0.549999997019768,-0.494242222193965,-0.0746071008435724,1,1.03169687213503E-6,,,,,,,,,,,,,,,,,,,,,200.219696044922,200.231597900391,23168.2734375,23168.2734375,52.1826923866305,5.61402420707734,6.04183626174927,56,1,0,0,1,0.308914184570313,28.3479976654053,1,1,1,200.219696044922,0,200.225646972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035444.61884,200.141700744629,22115.578125,-0.00039201819616795,2.59338219537895E-8,1,4,13.9012460708618,5.00674096265831,-0.549999997019768,-0.471670917333096,-0.071198885761125,1,9.85405478764699E-7,,,,,,,,,,,,,,,,,,,,,200.135223388672,200.148178100586,22115.578125,22115.578125,52.1209437336113,5.61435386395142,6.03376054763794,56,1,0,0,1,0.306167602539063,28.3479976654053,1,1,1,200.135223388672,0,200.141700744629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035472.39703,200.086906433105,21086.91015625,-0.00037384632073556,5.15681023617284E-8,1,4,13.9012460708618,5.00672786941051,-0.549999997019768,-0.449808029053906,-0.0678792180449342,1,9.55538672919887E-7,,,,,,,,,,,,,,,,,,,,,200.084030151367,200.089782714844,21086.91015625,21086.91015625,52.1471282890055,5.61405674149123,6.00782489776611,56,1,0,0,1,0.307235717773438,28.3479976654053,1,1,1,200.084030151367,0,200.086906433105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
