[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3911024881.97264,12/06/2023,11:47 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 431, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC275,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM006,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A0,OVEN_HW_VERSION
INFO,OVB098,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC033,AC_SERIAL_NUMBER
INFO,SQUID AC 00.94.06,AC_SOFTWARE_VERSION
INFO,TCI069,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3 0 deg MC Thick,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3911027297.6269,200.12922668457,500.065155029297,-8.31258084000277E-6,1.42657928267719E-8,1,4,13.9012460708618,4.98794410259979,-0.539999979082495,-0.0099467500116477,-0.00151416739198316,1,1.05182827414299E-8,,,,,,,,,,,,,,,,,,,,,200.12922668457,200.12922668457,500.065155029297,500.065155029297,52.2241186981498,5.60416771067074,6.02539300918579,56,1,0,0,1,0.300827026367188,26.3929634094238,1,1,1,200.12922668457,0,200.12922668457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027300.36594,200.125114440918,500.065155029297,-8.34957185167023E-6,1.22390951512896E-8,1,4,13.9012460708618,4.98791569266854,-0.539999979082495,-0.00999398787064796,-0.00150099248680038,1,2.71996441081782E-8,,,,,,,,,,,,,,,,,,,,,200.121658325195,200.128570556641,500.065155029297,500.065155029297,52.3507425182652,5.60437550711503,6.02372980117798,56,2,0,0,1,0.30242919921875,26.3929634094238,1,1,1,200.121658325195,0,200.125114440918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027305.02932,200.118637084961,500.065155029297,-8.34227632590693E-6,1.33544822991302E-8,1,4,13.9012460708618,4.98787019290548,-0.539999979082495,-0.00998252787876475,-0.00151659031504344,1,1.30254068536377E-8,,,,,,,,,,,,,,,,,,,,,200.115615844727,200.121658325195,500.065155029297,500.065155029297,52.3452711186305,5.60460188237712,6.03336477279663,56,3,0,0,1,0.303878784179687,26.3929634094238,1,1,1,200.115615844727,0,200.118637084961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027309.126,200.111877441406,500.065155029297,-8.35001429358865E-6,1.33627414786514E-8,1,4,13.9012460708618,4.9878230514876,-0.539999979082495,-0.00999865049473775,-0.00147240252142603,1,5.11329691024731E-8,,,,,,,,,,,,,,,,,,,,,200.108139038086,200.115615844727,500.065155029297,500.065155029297,52.285867351169,5.60469217342598,6.02608346939087,56,4,0,0,1,0.302810668945313,26.3929634094238,1,1,1,200.108139038086,0,200.111877441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027313.1517,200.105278015137,500.065155029297,-8.32330233865379E-6,1.48405780734973E-8,1,4,13.9012460708618,4.9878237792703,-0.539999979082495,-0.00996219384928183,-0.00149682649410401,1,2.66163670502936E-8,,,,,,,,,,,,,,,,,,,,,200.102416992187,200.108139038086,500.065155029297,500.065155029297,52.2213829983325,5.60472127993946,6.03171157836914,56,5,0,0,1,0.302505493164063,26.3929634094238,1,1,1,200.102416992187,0,200.105278015137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027318.57566,200.095443725586,500.065155029297,-8.34955765121629E-6,1.28546191322583E-8,1,4,13.9012460708618,4.98782619584302,-0.539999979082495,-0.00999395815036898,-0.00149938419809427,1,2.85100178482237E-8,,,,,,,,,,,,,,,,,,,,,200.094680786133,200.096206665039,500.065155029297,500.065155029297,52.346834375669,5.60466764564793,6.03006219863892,56,1,0,0,1,0.301284790039063,26.3929634094238,6,1,1,200.094680786133,0,200.095443725586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027321.15624,200.094573974609,500.065155029297,-8.34095164804836E-6,1.45537742533036E-8,1,4,13.9012460708618,4.98778891632985,-0.539999979082495,-0.00998449306308296,-0.001491691795051,1,3.36057031482985E-8,,,,,,,,,,,,,,,,,,,,,200.094467163086,200.094680786133,500.065155029297,500.065155029297,52.2370155687171,5.60434194471205,6.02581882476807,56,1,0,0,1,0.30181884765625,26.3929634094238,6,1,1,200.094467163086,0,200.094573974609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027325.26929,200.10733795166,500.065155029297,-8.34757332129186E-6,1.31199973316266E-8,1,4,13.9012460708618,4.98783046091461,-0.539999979082495,-0.00999220613909145,-0.00149504947657223,1,3.18302763068835E-8,,,,,,,,,,,,,,,,,,,,,200.094467163086,200.120208740234,500.065155029297,500.065155029297,52.3339375051017,5.60471821970811,6.03443193435669,56,1,0,0,1,0.301513671875,26.3929634094238,2,1,1,200.120208740234,0,200.10733795166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027329.27165,200.151741027832,500.065155029297,-8.35967283288227E-6,1.33763575012844E-8,1,4,13.9012460708618,4.98779198487131,-0.539999979082495,-0.0100057448013456,-0.00150264307019536,1,2.73266627684057E-8,,,,,,,,,,,,,,,,,,,,,200.120208740234,200.18327331543,500.065155029297,500.065155029297,52.1901178575632,5.6043646290345,6.02830934524536,56,1,0,0,1,0.301666259765625,26.881721496582,2,1,1,200.18327331543,0,200.151741027832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911027333.21917,200.23314666748,500.065155029297,-8.34939326330868E-6,1.36109926903564E-8,1,4,13.9012460708618,4.98781826033762,-0.539999979082495,-0.00999680590725216,-0.00147937382379804,1,4.52086422008509E-8,,,,,,,,,,,,,,,,,,,,,200.18327331543,200.283020019531,500.065155029297,500.065155029297,52.2428777826113,5.6042995803879,6.0316424369812,56,1,0,0,1,0.301055908203125,26.881721496582,2,1,1,200.283020019531,0,200.23314666748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
