[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3912064542.92271,12/18/2023,12:35 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 431, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC275,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM006,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A0,OVEN_HW_VERSION
INFO,OVB098,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC033,AC_SERIAL_NUMBER
INFO,SQUID AC 00.94.06,AC_SOFTWARE_VERSION
INFO,TCI069,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Silver,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.7,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3912065689.80503,200.081253051758,30000.244140625,-0.000533004096877044,6.58730652516184E-8,1,4,13.9012460708618,4.97800545306771,4.44999989122152,-0.636068350839597,-0.096308947332157,1,1.09876498512524E-6,,,,,,,,,,,,,,,,,,,,,200.081253051758,200.081253051758,30000.244140625,30000.244140625,52.1678414447651,5.60803096051694,6.00690746307373,56,1,0,0,1,0.300750732421875,29.3255138397217,1,1,1,200.081253051758,0,200.081253051758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065701.28594,200.12718963623,30000.244140625,-0.000533146193458473,9.21395796971654E-8,1,4,13.9012460708618,4.97791549378981,4.44999989122152,-0.636261086773811,-0.0960752591032491,1,1.31440456365206E-6,,,,,,,,,,,,,,,,,,,,,200.116851806641,200.13752746582,30000.244140625,30000.244140625,52.133449789919,5.60793237617832,6.01084566116333,56,1,0,0,1,0.300216674804687,29.3255138397217,1,1,1,200.13752746582,0,200.12718963623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065731.13153,200.281883239746,28800.533203125,-0.000511477381415502,5.49526857609753E-8,1,4,13.9012460708618,4.97773412275712,4.44999989122152,-0.610325716300998,-0.0924532411919495,1,1.01993035883486E-6,,,,,,,,,,,,,,,,,,,,,200.279403686523,200.284362792969,28800.533203125,28800.533203125,52.0619307804094,5.60874435838906,6.00706768035889,56,1,0,0,1,0.301132202148438,29.8142719268799,1,1,1,200.279403686523,0,200.281883239746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065761.15591,200.185523986816,27624.90234375,-0.00049048049902123,2.9017944649169E-8,1,4,13.9012460708618,4.97771679475367,4.44999989122152,-0.585273410534918,-0.0886227646077396,1,1.00715069279341E-6,,,,,,,,,,,,,,,,,,,,,200.178909301758,200.192138671875,27624.90234375,27624.90234375,52.1271967617651,5.60952122672958,5.99356937408447,56,1,0,0,1,0.300750732421875,29.8142719268799,1,1,1,200.178909301758,0,200.185523986816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065790.05612,200.215217590332,26474.12890625,-0.000470016144289599,1.4481385048549E-7,1,4,13.9012460708618,4.97764353555545,4.44999989122152,-0.560857791272814,-0.0848225926533222,1,1.04962183198857E-6,,,,,,,,,,,,,,,,,,,,,200.212493896484,200.21794128418,26474.12890625,26474.12890625,52.1158631482363,5.6089091477246,6.00067949295044,56,1,0,0,1,0.301971435546875,30.3030319213867,1,1,1,200.212493896484,0,200.215217590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065837.59221,200.104797363281,25347.810546875,-0.00044995900919459,4.40660010673772E-8,1,4,13.9012460708618,4.97746782665506,4.44999989122152,-0.536905859911483,-0.081143189795082,1,1.05151559072008E-6,,,,,,,,,,,,,,,,,,,,,200.104797363281,200.104797363281,25347.810546875,25347.810546875,52.2334982403805,5.60993542148289,5.99282693862915,56,1,0,0,1,0.303726196289063,30.3030319213867,1,1,1,200.104797363281,0,200.104797363281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065864.31307,200.130615234375,24245.935546875,-0.000430363471258421,3.79323812719971E-8,1,4,13.9012460708618,4.97734393945204,4.44999989122152,-0.513492115585702,-0.0776953474155522,1,9.31402191427068E-7,,,,,,,,,,,,,,,,,,,,,200.128936767578,200.132293701172,24245.935546875,24245.935546875,52.0818623076497,5.61012824337714,5.98573446273804,56,1,0,0,1,0.303115844726562,30.3030319213867,1,1,1,200.128936767578,0,200.130615234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065893.05483,200.225563049316,23168.28515625,-0.000411181505231512,3.81868800825137E-8,1,4,13.9012460708618,4.97728630775029,4.44999989122152,-0.49059950227891,-0.0742144021124052,1,9.03911683906534E-7,,,,,,,,,,,,,,,,,,,,,200.223815917969,200.227310180664,23168.28515625,23168.28515625,52.0771725365344,5.61000002372175,5.98506212234497,56,1,0,0,1,0.302886962890625,30.3030319213867,1,1,1,200.223815917969,0,200.225563049316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065920.58177,200.280731201172,22115.552734375,-0.000392459869902912,3.61507192048404E-8,1,4,13.9012460708618,4.97724165811235,4.44999989122152,-0.468260479610309,-0.0708046807914844,1,8.87691661627574E-7,,,,,,,,,,,,,,,,,,,,,200.276626586914,200.28483581543,22115.552734375,22115.552734375,52.2409237113132,5.61038247863475,5.9821400642395,56,1,0,0,1,0.302581787109375,30.3030319213867,1,1,1,200.276626586914,0,200.280731201172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3912065947.69275,200.264198303223,21087.009765625,-0.000374149071044926,3.73304018248152E-8,1,4,13.9012460708618,4.977134765372,4.44999989122152,-0.446405503033757,-0.0674601344285652,1,8.7897099311219E-7,,,,,,,,,,,,,,,,,,,,,200.258087158203,200.270309448242,21087.009765625,21087.009765625,52.275706180419,5.61144378174453,5.98839855194092,56,1,0,0,1,0.302810668945313,30.3030319213867,1,1,1,200.258087158203,0,200.264198303223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
